timestamp,open,high,low,close,volume
1777446000,0.00003486237930523772,0.000052842419247266616,0.00002723294238913364,0.000040597475559236045,34303.852424109915
1777446900,0.000040597475559236045,0.00005392249643976495,0.000031785751033269085,0.00004344340793819268,39031.236550327514
1777447800,0.00004344340793819268,0.00004750570262618037,0.000014546796545764785,0.00001689799777851487,21234.304972192447
1777448700,0.00001689799777851487,0.000032338745129518065,0.000016154896088422714,0.000026119201915206863,11524.965837797434
1777449600,0.000026119201915206863,0.000034329668571002674,0.000024801043853447588,0.000026409439169213315,5205.136053520762
1777450500,0.000026409439169213315,0.000031364041547374495,0.000022409848853668463,0.000028536404520915682,5264.534506767912
1777451400,0.000028536404520915682,0.00003687256941126344,0.00001764409479038023,0.00002300069341268423,8412.37977609862
1777452300,0.00002300069341268423,0.00003134151532061078,0.00002185264791315604,0.00003134151532061078,2873.15484924709
1777453200,0.00003134151532061078,0.00003196991694145425,0.00002465930280722071,0.000026653227163027166,2381.4094243731333
1777454100,0.000026653227163027166,0.00004861699951371295,0.000026388524119334087,0.00003805708651999374,7354.8513533466585
1777455000,0.00003805708651999374,0.00007097186894527866,0.0000369830422670407,0.00006653141742750943,11022.838807778182
1777455900,0.00006653141742750943,0.00011905349114629342,0.00006529858456362344,0.00011682241020650303,16695.30037714938
1777456800,0.00011682241020650303,0.00012433105939362482,0.00006170790470753946,0.0000832208305811015,34349.39123037075
1777457700,0.0000832208305811015,0.00008416155140439909,0.00003596065353118255,0.0000368770242631945,16856.820263347334
1777458600,0.0000368770242631945,0.00004823199444504267,0.00003399838454765398,0.00004315575134729788,5296.534915296335
1777459500,0.00004315575134729788,0.00004722191840868882,0.000039541745623788386,0.000046067982735091706,3632.127956342123
1777460400,0.000046067982735091706,0.000048391464090147854,0.000032994642825233456,0.00003826616098021217,3168.845015424154
1777461300,0.00003826616098021217,0.00005507259168567601,0.0000371785684637813,0.00004964190630776346,4065.26441976198
1777462200,0.00004964190630776346,0.00004964190630776346,0.00004186162074728163,0.00004347027111484145,1480.719973587573
