timestamp,datetime,open,high,low,close,volume_usd
1772138100,2026-02-26T20:35:00+00:00,2.9516074714004703e-06,3.2368526919030437e-06,2.452503562845404e-06,3.2302060510106727e-06,568.5060376955634
1772138160,2026-02-26T20:36:00+00:00,3.2302060510106727e-06,3.7049900022010594e-06,3.2302060510106727e-06,3.6120014218297703e-06,255.42504717964056
1772138220,2026-02-26T20:37:00+00:00,3.6120014218297703e-06,4.020628809355214e-06,3.5355870991693515e-06,4.020628809355214e-06,260.98151358880773
1772138280,2026-02-26T20:38:00+00:00,4.020628809355214e-06,6.292379661539497e-06,4.020628809355214e-06,5.111257491392253e-06,2430.684867982945
1772138340,2026-02-26T20:39:00+00:00,5.111257491392253e-06,5.661619811856306e-06,4.785811094701424e-06,5.036708531560899e-06,679.3556882391302
1772138400,2026-02-26T20:40:00+00:00,5.036708531560899e-06,6.7077218654532865e-06,5.036708531560899e-06,6.643959391927224e-06,1085.7518099316399
1772138460,2026-02-26T20:41:00+00:00,6.643959391927224e-06,7.653778025524426e-06,6.643959391927224e-06,7.159530972610164e-06,752.1261842551197
1772138520,2026-02-26T20:42:00+00:00,7.159530972610164e-06,7.159530972610164e-06,5.544570806691035e-06,6.292830664444376e-06,956.1725050150914
1772138580,2026-02-26T20:43:00+00:00,6.292830664444376e-06,6.292830664444376e-06,5.026662067046727e-06,5.478610822804127e-06,622.1274003478252
1772138640,2026-02-26T20:44:00+00:00,5.478610822804127e-06,6.654526590418518e-06,5.478610822804127e-06,6.654526590418518e-06,492.32500457677327
1772138700,2026-02-26T20:45:00+00:00,6.654526590418518e-06,6.804239613795669e-06,6.559425321935938e-06,6.559425321935938e-06,226.11974765524002
1772138760,2026-02-26T20:46:00+00:00,6.559425321935938e-06,8.696788745412512e-06,6.559425321935938e-06,8.428824551248021e-06,785.0572233194194
1772138820,2026-02-26T20:47:00+00:00,8.428824551248021e-06,8.428824551248021e-06,6.532001950997348e-06,6.532260543045482e-06,865.2481023719157
1772138880,2026-02-26T20:48:00+00:00,6.532260543045482e-06,6.532260543045482e-06,6.134978106804231e-06,6.205194961634752e-06,578.2107917921164
1772138940,2026-02-26T20:49:00+00:00,6.205194961634752e-06,6.720424600365843e-06,5.549599818889704e-06,6.5762171625254925e-06,635.2168527990331
